num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S000001;01/01/2023;1:15:00;AVDA. ALFONSO XIII, 33;33;5;CHAMARTÍN;Alcance;Despejado;Todo terreno;Conductor;De 55 a 59 años;Mujer;14;Sin asistencia sanitaria;443397.166;4478129.388;N;NULL
2023S000001;01/01/2023;1:15:00;AVDA. ALFONSO XIII, 33;33;5;CHAMARTÍN;Alcance;Despejado;Todo terreno;Pasajero;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;443397.166;4478129.388;N;NULL
2023S000001;01/01/2023;1:15:00;AVDA. ALFONSO XIII, 33;33;5;CHAMARTÍN;Alcance;Despejado;Todo terreno;Pasajero;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;443397.166;4478129.388;N;NULL
2023S000001;01/01/2023;1:15:00;AVDA. ALFONSO XIII, 33;33;5;CHAMARTÍN;Alcance;Despejado;Todo terreno;Pasajero;De 21 a 24 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;443397.166;4478129.388;N;NULL
2023S000001;01/01/2023;1:15:00;AVDA. ALFONSO XIII, 33;33;5;CHAMARTÍN;Alcance;Despejado;Todo terreno;Pasajero;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443397.166;4478129.388;N;NULL
2023S000001;01/01/2023;1:15:00;AVDA. ALFONSO XIII, 33;33;5;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;De 45 a 49 años;Mujer;14;Sin asistencia sanitaria;443397.166;4478129.388;S;NULL
2023S000001;01/01/2023;1:15:00;AVDA. ALFONSO XIII, 33;33;5;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;De 65 a 69 años;Hombre;14;Sin asistencia sanitaria;443397.166;4478129.388;S;NULL
2023S000001;01/01/2023;1:15:00;AVDA. ALFONSO XIII, 33;33;5;CHAMARTÍN;Alcance;Despejado;Turismo;Pasajero;De 65 a 69 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;443397.166;4478129.388;N;NULL
2023S000002;01/01/2023;1:50:00;CALL. ALCALA / CALL. JOSEFA VALCARCEL;638;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;448417.051;4477830.879;N;NULL
2023S000002;01/01/2023;1:50:00;CALL. ALCALA / CALL. JOSEFA VALCARCEL;638;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;448417.051;4477830.879;N;NULL
2023S000003;01/01/2023;2:00:00;CUSTA. SAN VICENTE, 34;34;9;MONCLOA-ARAVACA;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 45 a 49 años;Hombre;NULL;NULL;439187.099;4474647.474;N;NULL
2023S000004;01/01/2023;1:35:00;INTER. PLAZA DE CASTILLA / CALL. MATEO INURRIA;0;5;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;De 45 a 49 años;Mujer;14;Sin asistencia sanitaria;441564.657;4479662.718;N;NULL
2023S000004;01/01/2023;1:35:00;INTER. PLAZA DE CASTILLA / CALL. MATEO INURRIA;0;5;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;441564.657;4479662.718;N;NULL
